"child_marriage","child_marriage_u15","age_first_marriage","area","region","marital_status","education_level","health_insurance","ethnicity","wealth_index","contraceptive_decision_maker","current_contraceptive_use","age_first_sexual_intercourse","currently_married","partner_age","awareness_hiv_aids","used_computer_tablet","used_internet","owns_mobile_phone","access_to_media"
0,0,31,1,1,1,5,1,1,5,3,1,21,1,29,1,1,NA,1,1
NA,NA,NA,1,1,3,4,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,3,2,1,5,1,1,16,3,NA,1,1,NA,1,1
0,0,19,1,1,1,3,2,1,5,3,1,19,1,31,1,2,1,1,1
0,0,28,1,1,1,5,1,1,5,3,1,29,1,40,1,1,1,1,1
0,0,21,1,1,1,2,2,1,1,1,1,20,1,36,1,2,2,1,1
0,0,21,1,1,1,1,2,1,1,3,1,95,1,45,2,2,2,1,1
0,0,22,1,1,1,5,1,1,5,3,1,95,1,51,1,1,NA,1,1
NA,NA,NA,1,1,3,3,2,1,5,NA,2,0,3,NA,1,1,1,1,1
0,0,31,1,1,1,3,1,1,4,NA,2,95,1,50,1,1,1,1,1
0,0,21,1,1,1,5,1,1,5,1,1,95,1,36,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,32,1,1,NA,1,1
0,0,27,1,1,2,3,1,1,5,NA,2,20,3,NA,1,1,1,1,1
NA,NA,NA,1,1,3,3,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,4,NA,NA,95,1,26,1,2,1,1,1
0,0,25,1,1,1,2,1,1,5,3,1,95,1,48,1,2,1,1,1
NA,NA,NA,1,1,3,3,2,1,5,NA,2,0,3,NA,1,2,1,1,1
0,0,23,1,1,1,5,1,1,3,NA,NA,20,1,24,1,1,NA,1,1
0,0,22,1,1,1,4,1,1,5,3,1,16,1,58,1,1,1,1,1
0,0,28,1,1,1,5,1,1,5,3,1,26,1,49,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,20,1,1,1,4,1,1,5,1,1,20,1,41,1,1,NA,1,1
0,0,19,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,25,1,1,1,4,1,1,5,1,1,25,1,46,1,1,2,1,1
0,0,24,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,22,1,1,1,5,1,1,5,3,1,95,1,36,1,1,1,1,1
0,0,21,1,1,1,5,1,1,5,2,1,95,1,33,1,1,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,19,1,1,1,3,1,1,5,2,1,95,1,56,1,2,1,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,31,1,1,1,1,1
0,0,23,1,1,1,5,1,1,5,3,1,95,1,41,1,1,1,1,1
0,0,21,1,1,1,5,1,1,5,1,1,95,1,36,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,3,1,20,1,40,1,2,1,1,1
0,0,23,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,25,1,1,1,5,1,1,5,1,1,95,1,39,1,1,NA,1,1
0,0,21,1,1,1,5,1,1,5,NA,2,22,1,54,1,1,NA,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,21,1,1,1,5,1,1,5,NA,2,95,1,48,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,NA,25,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,29,1,1,1,5,1,1,5,3,1,20,1,42,1,1,NA,1,1
0,0,25,1,1,1,3,1,1,5,1,1,95,1,42,1,2,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,1,1,1
0,0,23,1,1,1,5,1,1,5,3,1,20,1,26,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,95,1,39,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,3,1,25,1,40,1,1,NA,1,1
0,0,22,1,1,1,3,2,1,5,3,1,21,1,43,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,95,1,37,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,95,1,40,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,2,NA,2,0,3,NA,1,1,1,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,33,1,1,1,5,1,1,5,3,1,33,1,37,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,1,1,25,1,39,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,95,1,37,1,1,NA,1,1
0,0,21,1,1,1,5,1,1,5,2,1,95,1,47,1,1,NA,1,1
0,0,21,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,23,1,1,1,5,1,1,5,NA,2,24,1,28,1,1,1,1,1
0,0,23,1,1,1,5,1,1,5,3,1,95,1,50,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,35,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,3,1,20,1,27,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
1,0,17,1,1,1,2,1,1,5,3,1,95,1,52,1,2,2,1,1
NA,NA,NA,1,1,3,3,2,1,5,NA,2,0,3,NA,1,2,1,1,1
0,0,21,1,1,1,5,1,1,5,1,1,95,1,34,1,1,NA,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,23,1,1,1,5,1,1,5,NA,NA,95,1,38,1,1,NA,1,1
0,0,23,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,23,1,1,1,3,1,1,5,NA,2,95,1,57,1,2,1,1,1
0,0,26,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,3,1,1,2,NA,2,0,3,NA,1,1,2,2,1
0,0,19,1,1,1,2,2,1,5,NA,2,95,1,48,1,2,1,1,1
NA,NA,NA,1,1,3,5,1,1,3,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,3,NA,2,0,3,NA,1,1,NA,1,1
0,0,21,1,1,1,3,1,1,5,3,1,95,1,43,1,2,1,1,1
0,0,31,1,1,1,3,1,1,5,3,1,95,1,42,1,1,1,1,1
0,0,18,1,1,1,3,2,1,5,3,1,95,1,52,1,2,1,1,1
0,0,22,1,1,1,3,2,1,5,1,1,22,1,41,1,1,1,1,1
0,0,26,1,1,1,5,1,1,5,1,1,95,1,41,1,1,NA,1,1
0,0,25,1,1,2,5,1,1,5,NA,2,95,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,4,3,1,21,1,29,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,25,1,38,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,1,1,95,1,43,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,28,1,1,1,5,1,1,5,3,1,95,1,46,1,1,1,1,1
0,0,21,1,1,1,5,1,1,5,3,1,21,1,40,1,1,NA,1,1
0,0,27,1,1,1,5,1,1,5,3,1,95,1,29,1,1,NA,1,1
0,0,19,1,1,1,0,1,1,5,1,1,95,1,51,1,2,1,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,34,1,1,NA,1,1
0,0,22,1,1,1,5,1,1,5,NA,2,95,1,48,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,95,1,37,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,1,1,95,1,41,1,1,NA,1,1
0,0,28,1,1,1,5,1,1,5,1,1,95,1,37,1,1,NA,1,1
NA,NA,NA,1,1,3,5,2,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,35,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,1,1,95,1,45,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,19,3,NA,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,1,1,95,1,42,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,20,1,39,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,95,1,52,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,3,1,95,1,35,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,1,1,25,1,37,1,1,NA,1,1
0,0,20,1,1,1,5,1,1,5,3,1,20,1,38,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,31,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,95,1,39,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,2,1,22,1,37,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,1,1,95,1,43,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,1,1,95,1,45,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,2,1
0,0,24,1,1,1,5,1,1,5,NA,2,95,1,64,1,1,1,1,1
0,0,25,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,25,1,1,1,5,1,1,5,3,1,95,1,40,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,3,1,95,1,56,1,1,NA,1,1
0,0,20,1,1,1,5,1,1,5,3,1,15,1,43,1,1,1,1,1
0,0,23,1,1,1,5,1,1,5,1,1,22,1,37,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,1,1,95,1,57,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,95,1,30,1,1,NA,1,1
0,0,28,1,1,1,5,1,1,5,3,1,95,1,41,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,19,1,1,1,3,1,1,5,1,1,95,1,34,1,1,NA,1,1
0,0,30,1,1,1,5,1,1,5,3,1,27,1,43,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,95,1,41,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,3,1,20,1,39,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,1,1,95,1,40,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,1,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,26,1,1,2,5,1,1,5,NA,2,95,3,NA,1,2,1,1,1
0,0,26,1,1,2,3,1,1,5,NA,2,25,3,NA,1,2,1,1,1
0,0,25,1,1,1,5,1,1,5,2,1,95,1,38,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,3,1,95,1,43,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,2,1,95,1,43,1,1,NA,9,1
0,0,24,1,1,1,5,1,1,5,2,1,95,1,38,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,2,1,95,1,40,1,1,NA,1,1
0,0,19,1,1,1,3,1,1,5,1,1,95,1,52,1,2,1,1,1
0,0,22,1,1,1,3,2,1,5,2,1,95,1,43,1,2,1,1,1
0,0,25,1,1,1,5,1,1,5,3,1,95,1,37,1,1,NA,1,1
0,0,28,1,1,1,3,1,1,5,3,1,95,1,62,1,2,1,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,1,2,1
0,0,22,1,1,1,5,1,1,5,1,1,95,1,29,1,2,1,1,1
0,0,23,1,1,1,5,1,1,5,NA,NA,95,1,32,1,2,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,3,1,22,1,36,1,1,NA,1,1
0,0,19,1,1,1,2,2,1,3,NA,2,23,1,56,1,2,1,1,1
0,0,26,1,1,1,3,1,1,5,2,1,95,1,45,1,1,NA,1,1
0,0,23,1,1,1,3,1,1,5,1,1,95,1,58,1,2,1,1,1
0,0,23,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,5,2,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,22,1,1,1,5,1,1,5,1,1,95,1,41,1,1,1,1,1
0,0,27,1,1,2,5,1,1,5,NA,2,95,3,NA,1,1,1,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,35,1,1,NA,1,1
0,0,30,1,1,1,2,1,1,5,1,1,95,1,39,1,1,1,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,2,1
0,0,20,1,1,1,3,1,1,5,NA,2,95,1,34,1,1,NA,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,21,1,1,1,5,1,1,5,3,1,95,1,56,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,3,1,95,1,47,1,1,NA,1,1
0,0,22,1,1,1,4,1,1,5,1,1,95,1,41,1,2,1,1,1
0,0,31,1,1,1,3,1,1,3,1,1,95,1,48,1,2,2,1,1
0,0,25,1,1,1,5,1,1,5,3,1,95,1,39,1,1,NA,1,1
0,0,21,1,1,1,5,1,1,5,NA,2,20,1,28,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,1,1,95,1,30,1,1,1,1,1
0,0,25,1,1,1,5,1,1,5,3,1,95,1,35,1,1,NA,1,1
0,0,20,1,1,1,2,1,1,5,1,1,95,1,40,1,2,2,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,22,1,1,1,5,1,1,5,3,1,22,2,37,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,3,1,95,1,43,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,4,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,19,1,1,1,3,1,1,5,3,1,19,1,25,1,1,NA,1,1
0,0,25,1,1,2,3,1,1,4,NA,2,95,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,3,1,28,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,23,1,1,1,3,1,1,5,1,1,95,1,49,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,1,1,95,1,37,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,29,1,1,1,5,1,1,5,1,1,95,1,41,1,1,1,1,1
0,0,25,1,1,1,5,1,1,5,1,1,95,1,52,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,27,1,1,1,5,1,1,5,1,1,95,1,44,1,1,NA,1,1
0,0,19,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,18,1,1,2,3,1,1,5,NA,2,19,3,NA,1,2,1,1,1
0,0,21,1,1,1,5,1,1,5,3,1,22,1,52,1,1,NA,1,1
0,0,31,1,1,1,5,1,1,5,NA,2,28,1,46,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,3,1,23,1,40,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,27,1,1,1,5,1,1,5,3,1,22,1,46,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,22,1,1,1,5,1,1,5,3,1,22,1,37,1,1,NA,1,1
0,0,22,1,1,1,5,1,1,5,2,1,20,1,30,1,1,NA,1,1
0,0,24,1,1,1,5,2,1,5,NA,2,20,1,47,1,2,1,1,1
0,0,24,1,1,1,5,2,1,5,NA,2,23,1,34,1,1,1,1,1
0,0,25,1,1,1,3,2,1,5,NA,2,22,1,46,1,2,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,20,3,NA,2,1,NA,1,1
0,0,31,1,1,1,5,1,1,5,3,1,25,1,25,1,1,1,1,1
0,0,27,1,1,1,5,1,1,5,NA,2,29,1,47,1,2,1,1,1
0,0,27,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,26,1,1,1,5,1,1,5,NA,NA,95,1,26,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,NA,2,21,1,42,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,1,1,1
0,0,23,1,1,1,5,1,1,5,NA,2,23,1,46,1,1,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,27,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,26,1,1,1,5,2,1,5,3,1,20,1,29,1,1,1,1,1
0,0,20,1,1,2,3,1,1,3,NA,2,95,3,NA,1,2,1,1,1
0,0,22,1,1,1,4,2,1,5,3,1,95,1,36,1,2,1,1,1
0,0,27,1,1,1,5,1,1,5,3,1,25,1,44,1,1,NA,1,1
0,0,21,1,1,1,5,1,1,5,3,1,21,1,32,1,1,NA,1,1
0,0,20,1,1,1,2,1,1,4,NA,2,21,1,50,2,2,1,1,1
0,0,27,1,1,1,5,1,1,5,3,1,27,1,31,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,25,1,38,1,1,NA,1,1
1,0,15,1,1,1,5,1,1,5,1,1,95,1,34,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,23,1,32,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,28,1,1,1,4,1,1,5,3,1,25,1,40,1,1,NA,1,1
0,0,35,1,1,1,3,1,1,4,NA,2,25,1,52,1,1,NA,1,1
0,0,21,1,1,1,3,2,1,4,3,1,21,1,48,1,2,1,1,1
NA,NA,NA,1,1,3,3,2,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,26,1,35,1,1,1,1,1
0,0,24,1,1,1,5,1,1,5,3,1,23,1,40,1,1,NA,1,1
0,0,31,1,1,1,5,1,1,5,NA,2,95,1,50,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,20,1,40,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,4,NA,2,0,3,NA,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,3,1,95,1,43,1,1,1,1,1
0,0,25,1,1,1,3,1,1,5,3,1,23,1,33,1,1,NA,1,1
0,0,26,1,1,1,5,2,1,5,3,1,23,1,33,1,1,1,1,1
0,0,29,1,1,1,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,25,1,1,1,4,2,1,5,3,1,95,1,36,1,1,1,1,1
0,0,18,1,1,1,3,1,1,5,3,1,19,1,52,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,3,1,20,1,35,1,1,NA,1,1
0,0,23,1,1,1,5,1,1,5,NA,2,23,1,38,1,1,NA,1,1
0,0,26,1,1,1,5,1,1,5,3,1,24,1,36,1,1,NA,1,1
0,0,23,1,1,2,5,1,1,5,NA,2,23,3,NA,1,1,NA,1,1
0,0,22,1,1,1,5,2,1,5,3,1,22,1,35,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,NA,2,25,1,29,1,1,1,1,1
0,0,26,1,1,1,5,1,1,5,NA,2,23,1,30,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,3,1,20,3,NA,1,1,NA,1,1
0,0,25,1,1,1,5,1,1,5,3,1,95,1,35,1,1,NA,1,1
0,0,29,1,1,1,5,1,1,5,NA,2,24,1,37,1,1,NA,1,1
0,0,21,1,1,1,5,1,1,5,3,1,95,1,29,1,1,NA,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,24,1,1,1,5,1,1,5,3,1,25,1,34,1,1,NA,1,1
0,0,22,1,1,1,5,1,1,5,3,1,95,1,36,1,1,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,3,1,25,3,NA,1,1,NA,1,1
0,0,24,1,1,2,3,1,1,5,3,1,24,3,NA,1,1,1,1,1
0,0,23,1,1,1,5,1,1,5,3,1,95,1,41,1,1,NA,1,1
0,0,21,1,1,1,5,1,1,5,3,1,95,1,51,1,1,NA,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,23,1,1,2,3,1,1,5,NA,2,95,3,NA,1,1,1,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,1,1,1
0,0,22,1,1,1,3,1,1,4,NA,2,23,1,42,1,2,1,1,1
NA,NA,NA,1,1,3,3,1,1,4,NA,2,0,3,NA,1,2,1,1,1
0,0,26,1,1,1,4,2,1,5,3,1,26,1,45,1,1,1,1,1
NA,NA,NA,1,1,3,5,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
0,0,18,1,1,1,2,2,1,5,3,1,95,1,42,1,2,1,1,1
NA,NA,NA,1,1,3,3,1,1,5,NA,2,0,3,NA,1,1,NA,1,1
